Name,Close,Close,Cluster
CMG제약,0.2798321096931499,-0.30689906447129967,2
HK이노엔,0.2828576150946388,-0.6307003367657271,2
HLB제약,1.1421240356557456,0.8072235534017672,0
JW생명과학,0.26466974595951553,-1.1799379594628814,1
JW신약,-1.2425364827591163,-0.672223248027454,3
JW중외제약,2.264708682409107,0.9587657265021479,0
SK바이오사이언스,0.024215289762514865,0.16252790012346546,0
SK바이오팜,1.059399118596481,0.10422437026674813,0
경남제약,-1.3039893495464683,1.6844734650707713,4
경동제약,-0.38818456183389444,-1.1384133832409602,1
경보제약,0.1683337229052514,1.4354838756878503,0
고려제약,-0.4518867638690907,-1.024274028637482,1
광동제약,1.26333272919517,0.295630120690941,0
국전약품,-0.1372647918882464,0.2900416120746108,4
국제약품,1.1204205283050965,1.3342325366411365,0
그린생명과학,-2.0597265696681637,0.22672059113403564,3
녹십자,-0.1256251846535003,-0.5588817072271974,1
녹십자웰빙,-0.5870593337059229,-0.9364465351875529,1
대웅제약,-1.2919455085723273,-0.10446379320688076,3
대원제약,-0.39092614228836065,-0.805289405149553,1
대한뉴팜,0.37077741889581695,-0.7765191335462682,2
대한약품,-0.26336942082032727,-1.5147842906650928,1
대화제약,0.5399620474491995,1.8870581577469763,0
동구바이오제약,-0.42682597550222273,-0.7894214548959371,1
동국제약,-0.38788854500178566,-0.8593040943991981,1
동성제약,-0.32056774548865613,-0.7968307694893,1
동아쏘시오홀딩스,-0.19315628247880523,-0.8162004211472176,1
동아에스티,0.17841211982864646,0.23111633617703467,0
동화약품,0.07619930178405902,-0.9339164601883222,1
명문제약,-0.9606534411916854,-0.4889746920397346,3
보령,0.5392255334297545,-0.4975216367146659,2
부광약품,-1.2911531435060528,-0.8460329989568314,3
비보존 제약,0.6125852371386025,2.5264781018269704,0
비씨월드제약,-0.9072665816112161,-0.6578215314558179,3
삼성바이오로직스,-0.5761566894727491,-1.1164971317792383,1
삼성제약,-0.19570845887328764,0.4801413566491977,4
삼아제약,0.06908288070032312,-0.8625257830176674,1
삼일제약,-0.746082759462622,-0.3439794999588531,3
삼진제약,-0.4367424345216791,-0.9059857084984648,1
삼천당제약,2.61136355418097,2.174482374982983,0
서울제약,-0.9316731341215895,-0.30455550453175917,3
셀트리온제약,1.0238475019960471,0.807700221790103,0
신신제약,1.028804346907959,1.4368725923711885,0
신일제약,-0.48934021914053655,-0.9421071052640636,1
신풍제약,-1.1563098614918472,1.0896199752434428,4
아이큐어,0.2569855811240076,2.0565801434239277,0
알피바이오,-1.1139353549676687,0.5606830062700503,4
압타머사이언스,-0.07068671679143909,1.3663306939589215,0
에스텍파마,-0.06174334202888343,-0.24344289215041484,1
에스티팜,-0.9912722958098967,-0.1996370605673784,3
에이프로젠바이오로직스,-1.3066740971692141,1.5241736263021686,4
위더스제약,1.6986525255132015,1.4195139649468655,0
유나이티드제약,0.388031197193136,-0.3590181241481442,2
유유제약,-0.3047890020775308,-0.6015845497067711,1
유한양행,0.6553480931349656,-0.1428714478838871,2
이연제약,-1.1481758396529718,-0.5922016048762206,3
일동제약,-1.4796807259635172,0.8496966045165588,4
일성신약,1.4314253103464443,0.537888042361459,0
일양약품,-0.675785923823763,-1.069329874905407,1
제일약품,-0.8173696077691035,-0.5648972543886793,3
조아제약,-0.6258292905952639,-0.43770502045968573,3
진양제약,-0.0654998362069932,-1.2016386452320378,1
코오롱생명과학,-0.010928355912085562,-0.5541957445619614,1
테라젠이텍스,0.0429119176745905,0.19911834690753447,0
텔콘RF제약,0.8882165245995948,1.7312227512937133,0
팜젠사이언스,-0.047185969108126384,-0.33807495927212633,1
프레스티지바이오로직스,2.304289493473297,1.537377898009939,0
프레스티지바이오파마,1.6356214767403658,1.410599465008441,0
하나제약,-0.943412845947253,-1.2782963385335746,1
하이텍팜,0.9626642493324625,-0.6810075992426982,2
한독,-0.9644266571780259,-1.1263796627574987,1
한미약품,0.5932465776096815,0.015436129133658702,0
한올바이오파마,2.9373302052546415,1.3423922299690485,0
현대약품,-0.4682506524633392,-0.6620158717271808,1
화일약품,-0.9966711220039165,-0.2196055303721099,3
환인제약,-0.7167565511768217,-1.3543413550484587,1
휴온스,1.3562368962315319,-0.04705455672400504,0
